key,value,date
15-24 years,11744,01/01/85
15-24 years,12069,01/01/86
15-24 years,10764,01/01/87
15-24 years,9647,01/01/88
15-24 years,13070,01/01/89
15-24 years,17495,01/01/90
15-24 years,17724,01/01/91
15-24 years,19152,01/01/92
15-24 years,19425,01/01/93
15-24 years,21397,01/01/94
15-24 years,23636,01/01/95
15-24 years,24811,01/01/96
15-24 years,24926,01/01/97
15-24 years,25475,01/01/98
15-24 years,26685,01/01/99
15-24 years,26875,01/01/00
15-24 years,26057,01/01/01
15-24 years,26312,01/01/02
15-24 years,25582,01/01/03
15-24 years,23535,01/01/04
15-24 years,22427,01/01/05
15-24 years,22965,01/01/06
15-24 years,22512,01/01/07
15-24 years,22820,01/01/08
15-24 years,22982,01/01/09
15-24 years,22081,01/01/10
15-24 years,22074,01/01/11
15-24 years,20505,01/01/12
15-24 years,18471,01/01/13
15-24 years,18122,01/01/14
15-24 years,15584,01/01/15
25-34 years,13461,01/01/85
25-34 years,13985,01/01/86
25-34 years,14675,01/01/87
25-34 years,13774,01/01/88
25-34 years,21983,01/01/89
25-34 years,27595,01/01/90
25-34 years,28011,01/01/91
25-34 years,30387,01/01/92
25-34 years,31491,01/01/93
25-34 years,33279,01/01/94
25-34 years,34681,01/01/95
25-34 years,35172,01/01/96
25-34 years,33912,01/01/97
25-34 years,34308,01/01/98
25-34 years,35288,01/01/99
25-34 years,35458,01/01/00
25-34 years,33780,01/01/01
25-34 years,34860,01/01/02
25-34 years,34130,01/01/03
25-34 years,31465,01/01/04
25-34 years,30475,01/01/05
25-34 years,30764,01/01/06
25-34 years,30492,01/01/07
25-34 years,30298,01/01/08
25-34 years,31411,01/01/09
25-34 years,30066,01/01/10
25-34 years,29292,01/01/11
25-34 years,28232,01/01/12
25-34 years,26670,01/01/13
25-34 years,26828,01/01/14
25-34 years,23409,01/01/15
35-54 years,26345,01/01/85
35-54 years,27636,01/01/86
35-54 years,30712,01/01/87
35-54 years,29021,01/01/88
35-54 years,43490,01/01/89
35-54 years,53979,01/01/90
35-54 years,56811,01/01/91
35-54 years,62989,01/01/92
35-54 years,68028,01/01/93
35-54 years,72061,01/01/94
35-54 years,76287,01/01/95
35-54 years,76906,01/01/96
35-54 years,73339,01/01/97
35-54 years,75519,01/01/98
35-54 years,81171,01/01/99
35-54 years,82500,01/01/00
35-54 years,80990,01/01/01
35-54 years,81502,01/01/02
35-54 years,80699,01/01/03
35-54 years,73854,01/01/04
35-54 years,69924,01/01/05
35-54 years,68437,01/01/06
35-54 years,66416,01/01/07
35-54 years,66259,01/01/08
35-54 years,68605,01/01/09
35-54 years,65514,01/01/10
35-54 years,63225,01/01/11
35-54 years,60868,01/01/12
35-54 years,58707,01/01/13
35-54 years,57436,01/01/14
35-54 years,49989,01/01/15
5-14 years,670,01/01/85
5-14 years,662,01/01/86
5-14 years,641,01/01/87
5-14 years,564,01/01/88
5-14 years,873,01/01/89
5-14 years,1164,01/01/90
5-14 years,1209,01/01/91
5-14 years,1315,01/01/92
5-14 years,1408,01/01/93
5-14 years,1364,01/01/94
5-14 years,1515,01/01/95
5-14 years,1474,01/01/96
5-14 years,1501,01/01/97
5-14 years,1674,01/01/98
5-14 years,1737,01/01/99
5-14 years,1716,01/01/00
5-14 years,1774,01/01/01
5-14 years,1762,01/01/02
5-14 years,1580,01/01/03
5-14 years,1501,01/01/04
5-14 years,1452,01/01/05
5-14 years,1498,01/01/06
5-14 years,1429,01/01/07
5-14 years,1364,01/01/08
5-14 years,1485,01/01/09
5-14 years,1423,01/01/10
5-14 years,1528,01/01/11
5-14 years,1387,01/01/12
5-14 years,1365,01/01/13
5-14 years,1417,01/01/14
5-14 years,1228,01/01/15
55-74 years,21235,01/01/85
55-74 years,21987,01/01/86
55-74 years,24783,01/01/87
55-74 years,23346,01/01/88
55-74 years,32950,01/01/89
55-74 years,39229,01/01/90
55-74 years,40893,01/01/91
55-74 years,44109,01/01/92
55-74 years,46870,01/01/93
55-74 years,49504,01/01/94
55-74 years,51966,01/01/95
55-74 years,52693,01/01/96
55-74 years,51353,01/01/97
55-74 years,53747,01/01/98
55-74 years,55170,01/01/99
55-74 years,53651,01/01/00
55-74 years,50990,01/01/01
55-74 years,51502,01/01/02
55-74 years,51196,01/01/03
55-74 years,46796,01/01/04
55-74 years,45855,01/01/05
55-74 years,45792,01/01/06
55-74 years,45349,01/01/07
55-74 years,45316,01/01/08
55-74 years,46494,01/01/09
55-74 years,45331,01/01/10
55-74 years,44331,01/01/11
55-74 years,43433,01/01/12
55-74 years,42065,01/01/13
55-74 years,41590,01/01/14
55-74 years,37006,01/01/15
75+ years,9202,01/01/85
75+ years,9671,01/01/86
75+ years,10911,01/01/87
75+ years,11023,01/01/88
75+ years,14310,01/01/89
75+ years,17472,01/01/90
75+ years,17254,01/01/91
75+ years,17212,01/01/92
75+ years,16873,01/01/93
75+ years,16869,01/01/94
75+ years,17309,01/01/95
75+ years,17026,01/01/96
75+ years,17231,01/01/97
75+ years,17797,01/01/98
75+ years,17896,01/01/99
75+ years,17876,01/01/00
75+ years,17619,01/01/01
75+ years,18112,01/01/02
75+ years,18530,01/01/03
75+ years,17916,01/01/04
75+ years,17730,01/01/05
75+ years,18280,01/01/06
75+ years,18771,01/01/07
75+ years,18815,01/01/08
75+ years,18409,01/01/09
75+ years,18567,01/01/10
75+ years,18716,01/01/11
75+ years,19064,01/01/12
75+ years,18534,01/01/13
75+ years,19277,01/01/14
75+ years,17109,01/01/15
